BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,segment,BOROUGH,ZIP
prestige homes ny inc,699000,4,3.0,1591.0,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,unknown,multi family home,Normal,Manhattan,11435
brown harris stevens,4250000,3,2.0,2400.0,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,unknown,co op,Normal,Manhattan,10012
american homes,329000,2,1.0,837.0,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344,unknown,condo,Normal,Staten Island,10304
wonica realtors appraisers,889000,2,2.0,1520.0,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917,unknown,multi family home,Normal,Manhattan,10314
exp,1200000,4,2.0,2536.0,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526,unknown,multi family home,Normal,Manhattan,11214
vylla home,220500,2,1.0,900.0,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983,unknown,co op,Normal,Staten Island,10301
re/max,1999000,3,3.0,2739.0,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598,unknown,multi family home,Normal,Manhattan,11209
douglas elliman,3250000,2,2.0,1300.0,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266,unknown,co op,Normal,Manhattan,10013
douglas elliman,1650000,2,2.0,1267.0,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131,unknown,condo,Normal,Brooklyn,11231
homes r us of ny inc,1049000,4,4.0,2554.0,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531,unknown,multi family home,Normal,Manhattan,10307
american homes,998800,3,4.0,2400.0,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996,unknown,house,Normal,Manhattan,10301
douglas elliman,3150000,3,2.0,1952.0,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051,for sale,other,Normal,Brooklyn,11217
piastro,559500,1,1.0,800.0,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,unknown,co op,Normal,Brooklyn,11235
douglas elliman,750000,1,1.0,835.0,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,unknown,co op,Normal,Manhattan,10065
douglas elliman,1900000,2,2.0,1029.0,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438,unknown,condo,Normal,Manhattan,10002
corcoran,1250000,2,2.0,1201.0,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099,unknown,condo,Normal,Brooklyn,11218
compass,1395000,2,2.0,1182.0,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,unknown,condo,Normal,Brooklyn,11238
better homes and gardens real estate safari,619888,3,2.0,1400.0,"35 Center Pl, Staten Island, NY 10306, USA",40.5632116,-74.1002521,contingent,other,Normal,Manhattan,10306
ashford homes,1489000,6,2.3738608579684373,3780.0,"205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877,unknown,multi family home,Outlier,Manhattan,10308
sotheby's,65000000,3,2.3738608579684373,15200.0,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167,unknown,townhouse,Luxury,Manhattan,10075
serhant,1595000,3,3.0,1413.0,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444,unknown,condo,Normal,Manhattan,11221
douglas elliman,655000,3,2.0,803.0,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036,unknown,condo,Normal,Manhattan,11237
serhant,1175000,2,2.0,1115.0,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444,unknown,condo,Normal,Brooklyn,11221
e  corp,2880000,9,2.3738608579684373,2350.0,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588,unknown,multi family home,Normal,Manhattan,11357
momentum real estate,798000,3,4.0,2150.0,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056,unknown,multi family home,Normal,Manhattan,10305
corcoran,31000000,3,4.0,4492.0,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568,unknown,condo,Luxury,Manhattan,10019
douglas elliman,1650000,2,2.0,1065.0,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,unknown,condo,Normal,Manhattan,10128
compass,12950000,5,4.0,3344.0,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035,unknown,townhouse,Luxury,Manhattan,10014
brown harris stevens,5750000,3,2.0,2223.0,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819,unknown,condo,Normal,Manhattan,10010
charles rutenberg inc,950000,6,2.3738608579684373,3384.0,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706,pending,other,Normal,Queens,11422
keller williams,585000,3,2.0,1100.0,"192 Colfax Ave, Staten Island, NY 10306, USA",40.5784263,-74.105437,unknown,house,Normal,Manhattan,10306
tom marco real estate inc,595000,3,1.0,1316.0,"1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226,unknown,house,Normal,Manhattan,11234
engel volkers brownstone brooklyn,215000,1,1.0,625.0,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538,unknown,condo,Normal,Manhattan,10012
built by toll brothers,950000,1,1.0,621.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,for sale,other,Normal,Manhattan,10025
sowae corp,314000,3,1.0,1572.0,"850 E 39th St, Brooklyn, NY 11210, USA",40.6362368,-73.939679,unknown,house,Normal,Manhattan,11210
brown harris stevens,395000,5,1.0,1000.0,"110 E 71st St, New York, NY 10021, USA",40.7700395,-73.9638872,unknown,condo,Normal,Manhattan,10021
exp,790000,6,3.0,2520.0,"78 Mountainview Ave, Staten Island, NY 10314, USA",40.6105856,-74.1268175,unknown,multi family home,Normal,Manhattan,10314
stroffolino,539000,2,2.0,1100.0,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836,unknown,co op,Normal,Brooklyn,11209
douglas elliman,1295000,4,2.0,1995.0,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337,unknown,co op,Normal,Bronx,10463
americas real estate advisors,400000,7,3.0,2385.0,"340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984,unknown,house,Normal,Manhattan,10470
douglas elliman,55000000,8,8.0,12000.0,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322,unknown,house,Luxury,Manhattan,10023
brown harris stevens,280000,1,1.0,1000.0,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,unknown,co op,Normal,Brooklyn,11209
top choice,899000,3,2.0,1440.0,"40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825,unknown,house,Normal,Manhattan,10309
built by toll brothers,2280000,2,2.0,1400.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,for sale,other,Normal,Manhattan,10025
amerihomes,1495000,4,2.3738608579684373,3000.0,"31 4 Ct, Staten Island, NY 10312, USA",40.5247627,-74.1681035,unknown,house,Normal,Manhattan,10312
douglas elliman,3950000,5,2.0,3528.0,"591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375,unknown,house,Normal,Manhattan,11215
avenues headquarters,325000,2,1.0,979.0,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257,unknown,condo,Normal,Manhattan,10029
sotheby's,2695000,6,5.0,4720.0,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514,unknown,townhouse,Outlier,Manhattan,10031
nobroker,4800000,6,2.3738608579684373,3958.0,"1151 83rd St, Brooklyn, NY 11228, USA",40.6178184,-74.0151165,pending,other,Outlier,Manhattan,11228
compass,694000,3,3.0,1360.0,"364 Armstrong Ave, Staten Island, NY 10308, USA",40.5423126,-74.1555672,unknown,house,Normal,Manhattan,10308
douglas elliman,688888,4,2.0,2846.0,"761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768,unknown,house,Normal,Manhattan,10467
sowae corp,400000,4,2.0,1980.0,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867,unknown,house,Normal,Manhattan,11208
winzone inc,319000,3,2.0,1224.0,"57 Neutral Ave, Staten Island, NY 10306, USA",40.5604695,-74.1018925,unknown,house,Normal,Manhattan,10306
exp,1100000,9,4.0,3276.0,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229,unknown,house,Normal,Manhattan,10032
keller williams,650000,3,2.0,1522.0,"237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286,unknown,house,Normal,Manhattan,11426
rise,799000,4,2.0,1975.0,"604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378,unknown,house,Normal,Manhattan,10312
berkshire hathaway homeservices new york  eastchester,259000,3,2.0,1089.0,"7C Edgewater Park, Bronx, NY 10465, USA",40.8246371,-73.8072061,unknown,co op,Normal,Manhattan,10465
ditommaso real estate,1195000,4,4.0,2704.0,"52 Indale Ave, Staten Island, NY 10309, USA",40.5143019,-74.2044734,unknown,house,Normal,Manhattan,10309
serhant,17500000,5,6.0,5499.0,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443,unknown,condo,Luxury,Manhattan,10007
salmon,189000,2,2.0,966.0,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351,unknown,condo,Normal,Staten Island,10305
midas,759000,3,2.0,1200.0,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051,unknown,condo,Normal,Queens,11360
compass,499000,1,1.0,630.0,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161,unknown,condo,Normal,Manhattan,10021
utopia real estate,69900,2,1.0,700.0,"61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568,unknown,co op,Outlier,Manhattan,10465
rock inc,1150000,12,6.0,5508.0,"32-40 48th St, Long Island City, NY 11103, USA",40.755049,-73.9136386,unknown,multi family home,Outlier,Manhattan,11103
island advantage rlty,1749900,5,4.0,3740.0,"517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067,foreclosure,other,Outlier,Manhattan,10031
charles h greenthal property,1399000,3,4.0,1993.0,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",40.7566899,-73.72075,unknown,co op,Normal,Queens,11005
douglas elliman,649000,3,2.0,1182.0,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248,unknown,condo,Normal,Queens,11365
ww  inc,499000,5,2.0,1760.0,"2774 Marion Ave, Bronx, NY 10458, USA",40.8663864,-73.8878945,unknown,house,Normal,Manhattan,10458
sotheby's,1050000,5,4.0,3132.0,"2818 Miles Ave, Bronx, NY 10465, USA",40.8176549,-73.8197053,unknown,multi family home,Normal,Manhattan,10465
compass,5000000,10,9.0,6425.0,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047,unknown,townhouse,Outlier,Manhattan,10024
hot homes,90000,1,1.0,660.0,"16 Mapleton Ave, Staten Island, NY 10306, USA",40.574451,-74.0929448,pending,other,Outlier,Manhattan,10306
douglas elliman,56000000,11,10.0,24000.0,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913,unknown,house,Luxury,Manhattan,10019
exp,650000,3,2.3738608579684373,1638.0,"1544 Ohm Ave, Bronx, NY 10465, USA",40.8454501,-73.8209766,unknown,townhouse,Normal,Manhattan,10465
douglas elliman,500000,4,3.0,1794.0,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392,unknown,condo,Normal,Manhattan,10024
real estate property,350000,2,1.0,490.0,"750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182,unknown,house,Normal,Manhattan,10306
re/max,90000,1,1.0,450.0,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444,unknown,co op,Outlier,Bronx,10452
built by toll brothers,1740000,2,2.0,1132.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,for sale,other,Normal,Manhattan,10025
epiphany,650000,4,2.0,2244.0,"115- 115 220th St, Cambria Heights, NY 11411, USA",40.6968706,-73.7390395,unknown,house,Normal,Manhattan,11411
re/max,1165000,3,4.0,3500.0,"67 Dexter Ave, Staten Island, NY 10309, USA",40.5397292,-74.2155251,unknown,house,Normal,Manhattan,10309
homes r us of ny inc,729900,3,2.0,1150.0,"447 Vernon Ave, Staten Island, NY 10309, USA",40.5302132,-74.1981906,unknown,house,Normal,Manhattan,10309
winzone inc,1880000,3,4.0,3150.0,"3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062,unknown,house,Normal,Manhattan,11224
charles h greenthal property,449000,2,2.0,1549.0,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564,unknown,co op,Normal,Queens,11005
keller williams,1175000,3,2.0,2250.0,"251 B 140 St, Rockaway Park, NY 11694, USA",40.57372,-73.8577786,unknown,house,Normal,Manhattan,11694
compass,2000000,3,2.0,2000.0,"Liberty Court, 200 Rector Pl #27e, New York, NY 10280, USA",40.7086444,-74.0161953,unknown,condo,Normal,Manhattan,10280
re/max,2800000,4,6.0,8333.0,"25 Copperleaf Terrace, Staten Island, NY 10304, USA",40.5861193,-74.1075476,unknown,house,Outlier,Manhattan,10304
keller williams,2600000,5,4.0,3024.0,"214-42 27th Ave, Flushing, NY 11360, USA",40.7780417,-73.7739629,unknown,house,Normal,Manhattan,11360
corcoran,3500000,6,6.0,6000.0,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622,unknown,townhouse,Outlier,Manhattan,10031
talk of the town c,675000,3,2.0,2400.0,"2519 Mill Ave, Brooklyn, NY 11234, USA",40.610206,-73.91065,unknown,house,Normal,Manhattan,11234
gateway arms corp,879000,4,2.0,1238.0,"48 Princewood Ave, Staten Island, NY 10309, USA",40.5273247,-74.1983282,unknown,house,Normal,Manhattan,10309
compass,2400000,4,2.0,1892.0,"396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146,unknown,townhouse,Normal,Manhattan,11215
jamie connie real estate grp,1730000,6,2.3738608579684373,3024.0,"45-12 244th St, Flushing, NY 11362, USA",40.765022,-73.7422005,unknown,house,Normal,Manhattan,11362
east coast realtors inc,2500000,5,2.3738608579684373,1450.0,"33-02 Parsons Blvd, Flushing, NY 11354, USA",40.7679673,-73.8246067,unknown,house,Normal,Manhattan,11354
re/max,998000,4,4.0,2000.0,"336 Bethel Ave, Staten Island, NY 10307, USA",40.515251,-74.235145,unknown,house,Normal,Manhattan,10307
coldwell banker,1195000,4,4.0,2688.0,"222 Hart Blvd, Staten Island, NY 10301, USA",40.6296431,-74.1005274,unknown,house,Normal,Manhattan,10301
re/max,1649000,3,2.0,2052.0,"1217 84th St, Brooklyn, NY 11228, USA",40.6164182,-74.0142443,unknown,house,Normal,Manhattan,11228
homes r us of ny inc,955000,4,4.0,2100.0,"82 Vineland Ave, Staten Island, NY 10312, USA",40.551184,-74.1840649,unknown,house,Normal,Manhattan,10312
keller williams,880000,3,2.0,1743.0,"190-16 33rd Ave, Flushing, NY 11358, USA",40.7668312,-73.7911175,unknown,house,Normal,Manhattan,11358
compass,39995000,4,2.3738608579684373,10582.0,"145 Reade St, New York, NY 10013, USA",40.7164224,-74.0101197,unknown,townhouse,Luxury,Manhattan,10013
tom crimmins ltd,899999,3,2.0,1784.0,"61 Prescott Ave, Staten Island, NY 10306, USA",40.5788586,-74.11209,contingent,other,Normal,Manhattan,10306
j milo real estate,198000,1,1.0,750.0,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433,unknown,condo,Normal,Queens,11415
howard hanna rand,549000,5,3.0,496.0,"2808 Wickham Ave, Bronx, NY 10469, USA",40.8679701,-73.836565,unknown,house,Normal,Manhattan,10469
re/max,1088888,3,4.0,1320.0,"1568 W 2nd St, Brooklyn, NY 11204, USA",40.6090909,-73.9762651,unknown,house,Normal,Manhattan,11204
carozza nicholas m,888000,4,2.0,2686.0,"3079 Giegerich Pl, Bronx, NY 10465, USA",40.8130775,-73.8063357,unknown,house,Normal,Manhattan,10465
all american management,65000,3,1.0,230.0,"45 Madison St #1, New York, NY 10038, USA",40.7120703,-73.9983258,for sale,other,Outlier,Manhattan,10038
flateau corp,1695000,5,2.0,2250.0,"871 Putnam Ave, Brooklyn, NY 11221, USA",40.686947,-73.9261885,coming soon,other,Normal,Manhattan,11221
exp,2499000,5,2.3738608579684373,4100.0,"152 Whitson St, Forest Hills, NY 11375, USA",40.7107701,-73.8406935,unknown,house,Outlier,Manhattan,11375
sotheby's,1970000,4,4.0,2508.0,"59 Duffield St, Brooklyn, NY 11201, USA",40.6965326,-73.9839654,unknown,townhouse,Normal,Manhattan,11201
ditommaso real estate,689000,3,2.3738608579684373,1248.0,"46 Kirshon Ave, Staten Island, NY 10314, USA",40.6137764,-74.1600305,unknown,house,Normal,Manhattan,10314
martino,649999,3,2.0,1440.0,"219 Slater Blvd, Staten Island, NY 10305, USA",40.5803331,-74.0885167,unknown,house,Normal,Manhattan,10305
exp,669000,3,2.0,864.0,"74 Holly St, Staten Island, NY 10304, USA",40.5993523,-74.0953882,unknown,house,Normal,Manhattan,10304
corcoran,800000,3,2.0,825.0,"1485 E 53rd St, Brooklyn, NY 11234, USA",40.6222734,-73.924094,unknown,house,Normal,Manhattan,11234
corcoran,2400000,6,6.0,6688.0,"726 Nostrand Ave., Brooklyn, NY 11216, USA",40.6738566,-73.9506085,for sale,other,Outlier,Manhattan,11216
exp,390000,2,1.0,586.0,"231 Freeborn St, Staten Island, NY 10306, USA",40.574103,-74.0931668,unknown,house,Normal,Manhattan,10306
re/max,1450000,4,2.3738608579684373,2700.0,"308 Poillon Ave, Staten Island, NY 10312, USA",40.5273093,-74.1753435,unknown,house,Normal,Manhattan,10312
rockaway,725000,2,2.0,792.0,"627 Wilson Ave #3, Brooklyn, NY 11207, USA",40.6898164,-73.9062474,unknown,condo,Normal,Brooklyn,11207
ilite inc,459000,3,2.0,1250.0,"2475 W 16th St #19h, Brooklyn, NY 11214, USA",40.5866482,-73.9845156,unknown,co op,Normal,Manhattan,11214
robert defalco inc,689999,3,2.0,1008.0,"596 College Ave, Staten Island, NY 10302, USA",40.621814,-74.1406264,unknown,house,Normal,Manhattan,10302
winzone inc,425000,3,2.0,1405.0,"58-03 Calloway St, Corona, NY 11368, USA",40.7381853,-73.8581248,unknown,co op,Normal,Manhattan,11368
douglas elliman,10000000,5,4.0,6800.0,"166 E 64th St, New York, NY 10065, USA",40.764989,-73.9655331,unknown,house,Luxury,Manhattan,10065
brp  inc,1499000,9,6.0,3519.0,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903,unknown,multi family home,Normal,Manhattan,11223
robert defalco inc,519000,3,2.0,1480.0,"62 Simmons Ln, Staten Island, NY 10314, USA",40.5939378,-74.1843153,unknown,house,Normal,Manhattan,10314
christie s int real estate,29200000,12,10.0,11638.0,"123 E 35th St, New York, NY 10016, USA",40.747472,-73.9796788,unknown,townhouse,Luxury,Manhattan,10016
pride estates,498000,2,1.0,975.0,"138 71st St Apt E10, Brooklyn, NY 11209, USA",40.6351164,-74.0311609,unknown,co op,Normal,Brooklyn,11209
laffey real estate,385000,1,2.0,900.0,"1805 215th St Apt 4n, Bayside, NY 11360, USA",40.7839299,-73.77643,unknown,co op,Normal,Queens,11360
progress inc,999000,6,2.0,3144.0,"851 Van Nest Ave, Bronx, NY 10462, USA",40.8451067,-73.8601577,unknown,multi family home,Normal,Manhattan,10462
staten island premiere,599000,4,4.0,2800.0,"77 Harbour Ct, Staten Island, NY 10308, USA",40.5387352,-74.1423893,contingent,other,Normal,Manhattan,10308
dynasty real estate inc,699998,3,2.0,1548.0,"159 Freedom Ave, Staten Island, NY 10314, USA",40.5953144,-74.1628286,unknown,townhouse,Normal,Manhattan,10314
ww  inc,999000,6,2.0,1280.0,"3426 Boller Ave, Bronx, NY 10475, USA",40.8808173,-73.8350832,unknown,house,Normal,Manhattan,10475
nexthome rential,265000,1,1.0,700.0,"2345 Bell Blvd Apt 5f, Bayside, NY 11360, USA",40.7824499,-73.7765099,unknown,co op,Normal,Queens,11360
maximillion inc,288000,1,1.0,845.0,"3901 Nostrand Ave. #4c, Brooklyn, NY 11235, USA",40.5894827,-73.9395372,unknown,co op,Normal,Brooklyn,11235
compass,999995,3,2.0,1750.0,"205 E 63rd St #11e, New York, NY 10065, USA",40.7640501,-73.964336,unknown,co op,Normal,Manhattan,10065
corcoran,1495000,2,2.0,1350.0,"200 E 74th St #6b, New York, NY 10021, USA",40.7708195,-73.9595235,unknown,co op,Normal,Manhattan,10021
corcoran,925000,1,1.0,1000.0,"235 E 73rd St #4b, New York, NY 10021, USA",40.7699425,-73.9583558,unknown,co op,Normal,Manhattan,10021
ai brokerage,2000000,4,4.0,3000.0,"444 E 57th St #2d, New York, NY 10022, USA",40.7573479,-73.9614914,unknown,condo,Normal,Manhattan,10022
century 21 first,839000,3,2.0,1376.0,"8895 26th Ave #5a, Brooklyn, NY 11214, USA",40.5905451,-73.9910402,unknown,condo,Normal,Manhattan,11214
platinum  of long island,329000,1,1.0,820.0,"11139 76th Rd Apt E6, Forest Hills, NY 11375, USA",40.7157399,-73.83672,unknown,co op,Normal,Queens,11375
keller williams,899000,6,3.0,3683.0,"948 E 217th St, Bronx, NY 10469, USA",40.8796143,-73.856153,unknown,multi family home,Outlier,Manhattan,10469
