BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,ZIP,BOROUGH,PRICE_PER_SQFT,LUXURY
signature premier,1025000,1,1.0,800.0,"460 E 79th St #9f, New York, NY 10075, USA",40.7712538,-73.950858,unknown,condo,10075,Manhattan,1281.25,False
compass,1100000,1,1.0,726.0,"88 Greenwich St APT 2307, New York, NY 10006, USA",40.7078844,-74.0140879,unknown,condo,10006,Manhattan,1515.1515151515152,False
corcoran,370000,1,1.0,2184.207862,"100 Remsen St #3f, Brooklyn, NY 11201, USA",40.6939582,-73.9943695,unknown,co op,11201,Brooklyn,169.3977969941031,False
douglas elliman,259000,1,1.0,750.0,"3500 Snyder Ave #5n, Brooklyn, NY 11203, USA",40.6491203,-73.9440658,unknown,co op,11203,Brooklyn,345.3333333333333,False
5 boro corp,99000,1,1.0,2184.207862,"1368 E 92nd St #300, Brooklyn, NY 11236, USA",40.6372545,-73.9002674,unknown,condo,11236,Brooklyn,45.32535649301678,False
douglas elliman,535000,1,1.0,750.0,"192 E 8th St #1c, Brooklyn, NY 11218, USA",40.6453011,-73.9723049,unknown,co op,11218,Brooklyn,713.3333333333334,False
douglas elliman,559000,1,1.0,679.0,"Mirada, 161 E 110th St #6g, New York, NY 10029, USA",40.7945743,-73.9434214,unknown,condo,10029,Manhattan,823.2695139911634,False
corcoran,289000,1,1.0,666.0,"1065 Vermont St #4g, Brooklyn, NY 11207, USA",40.6541622,-73.8846778,unknown,condo,11207,Brooklyn,433.93393393393393,False
compass,699000,1,1.0,616.0,"435 Tompkins Ave #305, Brooklyn, NY 11216, USA",40.6826476,-73.9434923,unknown,condo,11216,Brooklyn,1134.7402597402597,False
robert e hill inc,105509,1,1.0,650.0,"60 Knolls Crescent #8f, Bronx, NY 10463, USA",40.879078,-73.9175196,unknown,co op,10463,Bronx,162.32153846153847,False
gateway arms corp,189000,1,1.0,730.0,"20 Cliff St #5b, Staten Island, NY 10305, USA",40.6109595,-74.060351,unknown,condo,10305,Staten Island,258.90410958904107,False
compass,449500,1,1.0,2184.207862,"180 Thompson St, New York, NY 10012, USA",40.7278952,-73.9998294,unknown,co op,10012,Manhattan,205.79543175364688,False
llk homes inc,209000,1,1.0,1078.0,"4410 Cayuga Ave Bsmt B3, Bronx, NY 10471, USA",40.8915963,-73.8989828,unknown,co op,10471,Bronx,193.87755102040816,False
corcoran,565000,1,1.0,2184.207862,"78 8th Ave #2k, Brooklyn, NY 11215, USA",40.6733809,-73.9732475,unknown,co op,11215,Brooklyn,258.67501432883313,False
re/max,369000,1,1.0,1470.0,"123-10 Ocean Prom #7h, Rockaway Park, NY 11694, USA",40.5756358,-73.8423199,unknown,co op,11694,Queens,251.0204081632653,False
corcoran,529900,1,1.0,630.0,"175 Adams St #10e, Brooklyn, NY 11201, USA",40.6985714,-73.9881911,pending,other,11201,Brooklyn,841.1111111111111,False
corcoran,410000,1,1.0,2184.207862,"8701 Shore Rd Apt 435, Brooklyn, NY 11209, USA",40.6249201,-74.0404698,unknown,co op,11209,Brooklyn,187.71107234481696,False
city connections,785000,1,1.0,2184.207862,"10 Park Ave #10c, New York, NY 10016, USA",40.7473555,-73.9813841,unknown,co op,10016,Manhattan,359.3980287577593,False
compass,324000,1,1.0,2184.207862,"35-31 85th St, Jackson Heights, NY 11372, USA",40.7512505,-73.8814433,unknown,co op,11372,Manhattan,148.33753034078217,False
brown harris stevens,185000,1,1.0,2184.207862,"789 MacDonough St #4g, Brooklyn, NY 11233, USA",40.684563,-73.914482,unknown,co op,11233,Brooklyn,84.69889849705154,False
e  corp,478900,1,1.0,554.0,"65-18 Austin St #2c, Rego Park, NY 11374, USA",40.7259759,-73.8599803,unknown,condo,11374,Queens,864.4404332129964,False
harlem lofts inc harlem lofts inc,149000,1,1.0,375.0,"219 W 144th St Apt 41, New York, NY 10030, USA",40.8213094,-73.9399984,unknown,co op,10030,Manhattan,397.3333333333333,False
keller williams,355000,1,1.0,514.0,"961 Washington Ave #1g, Brooklyn, NY 11225, USA",40.6660348,-73.9612418,unknown,condo,11225,Brooklyn,690.6614785992218,False
east coast partners,220000,1,1.0,2184.207862,"65-65 Wetherole St #4o, Rego Park, NY 11374, USA",40.725937,-73.8572908,unknown,co op,11374,Queens,100.72301442892616,False
re/max,315000,1,1.0,850.0,"3531 85th St Apt 2m, Jackson Heights, NY 11372, USA",40.7520799,-73.88188,unknown,co op,11372,Queens,370.5882352941176,False
lopez team inc,119000,1,1.0,650.0,"754 Brady Ave Apt 205, Bronx, NY 10462, USA",40.8522378,-73.8655788,unknown,co op,10462,Bronx,183.07692307692307,False
douglas elliman,259000,1,1.0,2184.207862,"72-81 113th St #6c, Forest Hills, NY 11375, USA",40.7199582,-73.8357232,unknown,co op,11375,Queens,118.57845789587218,False
keller williams,109000,1,1.0,2184.207862,"335 E 209th St Apt 4, Bronx, NY 10467, USA",40.8768714,-73.8742644,unknown,co op,10467,Bronx,49.903675330695236,False
corcoran,595000,1,1.0,750.0,"189 Loisaida Ave #9d, New York, NY 10009, USA",40.726984,-73.9769367,unknown,condo,10009,Manhattan,793.3333333333334,False
re/max,374900,1,1.0,782.0,"2287 Johnson Ave #12b, Bronx, NY 10463, USA",40.8778771,-73.9188767,unknown,condo,10463,Bronx,479.4117647058824,False
corcoran,699000,1,1.0,2184.207862,"114 Remsen St, Brooklyn, NY 11201, USA",40.6938368,-73.9941354,unknown,co op,11201,Manhattan,320.0244867537245,False
robert e hill inc,249000,1,1.0,850.0,"601 Kappock St #3n, Bronx, NY 10463, USA",40.8789773,-73.916004,unknown,co op,10463,Bronx,292.94117647058823,False
keller williams,228500,1,1.0,750.0,"12335 82nd Rd Apt 7h, Kew Gardens, NY 11415, USA",40.7115099,-73.82872,unknown,co op,11415,Queens,304.6666666666667,False
elegran real estate and development,639000,1,1.0,2184.207862,"45 East End Ave #5e, New York, NY 10028, USA",40.77172,-73.9467052,unknown,co op,10028,Manhattan,292.55457372765375,False
sotheby's,549000,1,1.0,2184.207862,"535 E 72nd St #4a, New York, NY 10021, USA",40.7662222,-73.9516342,unknown,co op,10021,Manhattan,251.34970418854758,False
trebach inc,295000,1,1.0,2184.207862,"3001 Henry Hudson Pkwy, Bronx, NY 10463, USA",40.883124,-73.9164633,unknown,co op,10463,Manhattan,135.06040571151465,False
red door,249999,1,1.0,750.0,"3747 Amboy Rd #2a, Staten Island, NY 10308, USA",40.5523555,-74.1450647,contingent,other,10308,Staten Island,333.332,False
compass,580000,1,1.0,2184.207862,"305 W 55th St #2a, New York, NY 10019, USA",40.7657861,-73.9842196,unknown,co op,10019,Manhattan,265.54249258535083,False
prince  grp,699900,1,1.0,2184.207862,"1125 47th Ave APT 1, Long Island City, NY 11101, USA",40.745068,-73.949763,unknown,condo,11101,Queens,320.4365354491156,False
compass,545000,1,1.0,2184.207862,"28 W 87th St #4a, New York, NY 10024, USA",40.7863158,-73.9702042,unknown,co op,10024,Manhattan,249.5183766534762,False
brown harris stevens,479000,1,1.0,2184.207862,"335 W 85th St #4a, New York, NY 10024, USA",40.788879,-73.9794905,unknown,co op,10024,Manhattan,219.30147232479834,False
great riches,290000,1,1.0,2184.207862,"65-50 Wetherole St, Flushing, NY 11374, USA",40.7255887,-73.8589005,unknown,condo,11374,Manhattan,132.77124629267541,False
kus premier inc,345000,1,1.0,2184.207862,"172-31 Highland Ave #2a, Jamaica, NY 11432, USA",40.7135571,-73.7901901,unknown,condo,11432,Queens,157.95199989990695,False
douglas elliman,1495000,1,1.0,814.0,"9 Dekalb Ave #55, Brooklyn, NY 11201, USA",40.6903851,-73.9825343,pending,other,11201,Brooklyn,1836.6093366093367,False
fave inc,250000,1,1.0,900.0,"3017 Riverdale Ave #1f, Bronx, NY 10463, USA",40.880985,-73.9102329,unknown,co op,10463,Bronx,277.77777777777777,False
corcoran,1275000,1,1.0,1000.0,"521 W 47th St #2b, New York, NY 10036, USA",40.7635661,-73.9941366,unknown,co op,10036,Manhattan,1275.0,False
agency real estate services,269000,1,1.0,900.0,"17040 Highland Ave Apt 404, Jamaica, NY 11432, USA",40.7125699,-73.79318,unknown,co op,11432,Queens,298.8888888888889,False
houlihan lawrence,129000,1,1.0,750.0,"4315 Webster Ave #3j, Bronx, NY 10470, USA",40.8995193,-73.8623678,unknown,co op,10470,Bronx,172.0,False
keller williams,262500,1,1.0,2184.207862,"750 Kappock St Apt 502, Bronx, NY 10463, USA",40.8819467,-73.9200169,unknown,co op,10463,Bronx,120.18086948905963,False
compass,850000,1,1.0,2184.207862,"32 Downing St #2b, New York, NY 10014, USA",40.729293,-74.003447,unknown,co op,10014,Manhattan,389.1571012026693,False
o kane,149000,1,1.0,2184.207862,"11250 Northern Blvd Apt 1f, Corona, NY 11368, USA",40.7581299,-73.8569399,unknown,co op,11368,Queens,68.21695068140909,False
east coast realtors inc,195000,1,1.0,2184.207862,"44-20 Douglaston Pkwy #2a, Flushing, NY 11363, USA",40.7659255,-73.7453922,unknown,co op,11363,Queens,89.27721733473001,False
comfort homes,299000,1,1.0,608.0,"51 Seafoam St, Staten Island, NY 10306, USA",40.5638362,-74.0989788,unknown,house,10306,Manhattan,491.7763157894737,False
compass,329000,1,1.0,750.0,"302 96th St #4l, Brooklyn, NY 11209, USA",40.61593,-74.0335829,unknown,co op,11209,Brooklyn,438.6666666666667,False
keller williams,539000,1,1.0,725.0,"207-7 Estates Dr #1, Bayside, NY 11360, USA",40.7865988,-73.7862803,pending,other,11360,Queens,743.448275862069,False
douglas elliman,299000,1,1.0,2184.207862,"318 W 36th St. #3a, New York, NY 10018, USA",40.7538054,-73.9935323,unknown,co op,10018,Manhattan,136.89173324658603,False
avenues headquarters,275000,1,1.0,850.0,"3202 Nostrand Ave. #6e, Brooklyn, NY 11229, USA",40.6056272,-73.943238,unknown,condo,11229,Brooklyn,323.52941176470586,False
keller williams,495000,1,1.0,2184.207862,"257 W 86th St #8c, New York, NY 10024, USA",40.7885633,-73.9767931,unknown,co op,10024,Manhattan,226.6267824650839,False
golden real corp,169000,1,1.0,680.0,"2821 Kings Hwy Apt 1n, Brooklyn, NY 11229, USA",40.6150193,-73.9464928,unknown,co op,11229,Brooklyn,248.52941176470588,False
weichert realtors larchmont,124900,1,1.0,676.0,"3535 Kings College Pl #3e, Bronx, NY 10467, USA",40.880833,-73.8758596,unknown,co op,10467,Bronx,184.76331360946745,False
exp,269000,1,1.0,2184.207862,"21-57 33rd St #5e, Astoria, NY 11105, USA",40.7759232,-73.9087334,unknown,co op,11105,Queens,123.15677673355063,False
benjamin since 1980,329000,1,1.0,2184.207862,"6 Burns St Apt 111, Forest Hills, NY 11375, USA",40.7193051,-73.8453248,unknown,co op,11375,Queens,150.6266897596214,False
r new york,439000,1,1.0,950.0,"10 Bay Street Landing #5e, Staten Island, NY 10301, USA",40.638118,-74.073964,unknown,co op,10301,Staten Island,462.10526315789474,False
brown harris stevens,385000,1,1.0,900.0,"2500 Johnson Ave #12b, Bronx, NY 10463, USA",40.876794,-73.9177034,unknown,co op,10463,Bronx,427.77777777777777,False
coldwell banker,324900,1,1.0,900.0,"251 Seaman Ave #1c, New York, NY 10034, USA",40.8716437,-73.9178483,unknown,co op,10034,Manhattan,361.0,False
century 21 homefront,255000,1,1.0,750.0,"464 Neptune Ave #4e, Brooklyn, NY 11224, USA",40.5792324,-73.9713245,unknown,co op,11224,Brooklyn,340.0,False
houlihan lawrence,149999,1,1.0,850.0,"4295 Webster Ave #4b, Bronx, NY 10470, USA",40.8992144,-73.8624103,unknown,co op,10470,Bronx,176.46941176470588,False
new york rential r e,208000,1,1.0,610.0,"159 W 16th St 6 68, New York, NY 10011, USA",40.7398044,-73.9980373,unknown,co op,11357,Manhattan,340.9836065573771,False
pride estates,172800,1,1.0,750.0,"2010 E 58th St # 120b, Brooklyn, NY 11234, USA",40.6149015,-73.9185548,pending,other,11234,Brooklyn,230.4,False
miller miller real estate,239900,1,1.0,585.0,"71-27 260th St a2, Glen Oaks, NY 11004, USA",40.7516659,-73.7183001,unknown,co op,11004,Queens,410.0854700854701,False
douglas elliman,699000,1,1.0,600.0,"170 W 74th St Apt 607, New York, NY 10023, USA",40.7794608,-73.979919,unknown,co op,10023,Manhattan,1165.0,False
corcoran,399000,1,1.0,2184.207862,"521 E 81st St #4c, New York, NY 10028, USA",40.7723985,-73.9482206,unknown,co op,10028,Manhattan,182.67492162337064,False
mjr real estate,269000,1,1.0,700.0,"97-37 63rd Rd #5f, Rego Park, NY 11374, USA",40.7318958,-73.8599645,unknown,co op,11374,Queens,384.2857142857143,False
compass,359000,1,1.0,2184.207862,"229 E 81st St, New York, NY 10028, USA",40.7751786,-73.9550168,unknown,co op,10028,Manhattan,164.3616462726568,False
voro,278999,1,1.0,2184.207862,"58- 11 251st St, Little Neck, NY 11362, USA",40.7601741,-73.728329,unknown,co op,11362,Manhattan,127.73463773934533,False
century homes,259000,1,1.0,2184.207862,"3730 73rd St Apt 1h, Jackson Heights, NY 11372, USA",40.7488599,-73.8926999,unknown,co op,11372,Queens,118.57845789587218,False
landseair real estate  inc bronx little italy office,119888,1,1.0,2184.207862,"112-50 Northern Blvd #5e, Corona, NY 11368, USA",40.7582228,-73.8559216,unknown,co op,11368,Queens,54.88854888115955,False
century 21 first,659000,1,1.0,440.0,"202 Baltic St # 1, Brooklyn, NY 11201, USA",40.6867525,-73.996485,unknown,co op,11201,Brooklyn,1497.7272727272727,False
exp,320000,1,1.0,2184.207862,"2 Dartmouth St, Forest Hills, NY 11375, USA",40.7192438,-73.8499268,unknown,co op,11375,Manhattan,146.50620280571079,False
compass,265000,1,1.0,2184.207862,"1777 Madison Ave Apt 32, New York, NY 10035, USA",40.8003865,-73.9443376,unknown,co op,10035,Manhattan,121.32544919847925,False
keller williams,680000,1,1.0,2184.207862,"299 Henry St d1, Brooklyn, NY 11201, USA",40.6915357,-73.9956516,unknown,co op,11201,Brooklyn,311.32568096213544,False
re/max,258888,1,1.0,650.0,"9031 Fort Hamilton Pkwy #6c, Brooklyn, NY 11209, USA",40.617279,-74.0267532,unknown,co op,11209,Brooklyn,398.28923076923076,False
douglas elliman,300000,1,1.0,2184.207862,"315 E 77th St #4d, New York, NY 10075, USA",40.7719231,-73.955157,unknown,co op,10075,Manhattan,137.34956513035388,False
compass,875000,1,1.0,2184.207862,"15 W 72nd St #5b, New York, NY 10023, USA",40.7769649,-73.9769247,unknown,co op,10023,Manhattan,400.6028982968654,False
belle harbor,349000,1,1.0,1017.0,"13811 Beach Channel Dr #8c, Rockaway Park, NY 11694, USA",40.5781687,-73.8586706,unknown,co op,11694,Queens,343.1661750245821,False
robert defalco inc,238000,1,1.0,650.0,"20 Cliff St #8f, Staten Island, NY 10305, USA",40.6109595,-74.060351,unknown,condo,10305,Staten Island,366.15384615384613,False
keller williams,472000,1,1.0,700.0,"85-28 Grand Ave #4c, Elmhurst, NY 11373, USA",40.73531,-73.8812513,unknown,condo,11373,Queens,674.2857142857143,False
keller williams,200000,1,1.0,2184.207862,"8616 60th Ave Apt 2n, Elmhurst, NY 11373, USA",40.7304899,-73.8735933,unknown,co op,11373,Queens,91.56637675356924,False
keller williams,232500,1,1.0,2184.207862,"123-35 82nd Rd #3r, Kew Gardens, NY 11415, USA",40.7121373,-73.8277084,unknown,co op,11415,Queens,106.44591297602425,False
keller williams,299000,1,1.0,2184.207862,"3720 81st St Apt 2e, Jackson Heights, NY 11372, USA",40.7490984,-73.8849909,unknown,co op,11372,Queens,136.89173324658603,False
keller williams,529000,1,1.0,2184.207862,"301 E 22nd St #2r, New York, NY 10010, USA",40.7371253,-73.9806613,unknown,co op,10010,Manhattan,242.19306651319064,False
ortiz home selling team,279900,1,1.0,900.0,"1020 Grand Concourse #14d, Bronx, NY 10451, USA",40.8301222,-73.9202611,unknown,co op,10451,Bronx,311.0,False
platzner,165000,1,1.0,875.0,"205 E 238th St #1j, Bronx, NY 10470, USA",40.8994229,-73.8706379,unknown,co op,10470,Bronx,188.57142857142858,False
douglas elliman,270000,1,1.0,2184.207862,"2155 82nd St #5o, Brooklyn, NY 11214, USA",40.6047809,-73.9920476,unknown,co op,11214,Brooklyn,123.61460861731848,False
besmatch real estate,99000,1,1.0,850.0,"1177 Anderson Ave #2d, Bronx, NY 10452, USA",40.83645,-73.924271,unknown,co op,10452,Bronx,116.47058823529412,False
re/max,558000,1,1.0,751.0,"346 91st St APT 307, Brooklyn, NY 11209, USA",40.619526,-74.0311577,unknown,condo,11209,Brooklyn,743.0093209054594,False
jm,255500,1,1.0,950.0,"422 Maryland Ave #3b, Staten Island, NY 10305, USA",40.6077498,-74.0743086,unknown,condo,10305,Staten Island,268.94736842105266,False
bedford brownstone,220000,1,1.0,500.0,"767 Eastern Pkwy #1a, Brooklyn, NY 11213, USA",40.6699448,-73.9429395,unknown,co op,11213,Brooklyn,440.0,False
compass,329000,1,1.0,2184.207862,"48-17 42nd St #4b, Woodside, NY 11377, USA",40.739059,-73.9229803,unknown,co op,11104,Queens,150.6266897596214,False
compass,555555,1,1.0,2184.207862,"622 West End Ave #4a, New York, NY 10024, USA",40.7914938,-73.9756337,unknown,co op,10024,Manhattan,254.3507921866458,False
keller williams,293900,1,1.0,2184.207862,"35-31 85th St #6c, Jackson Heights, NY 11372, USA",40.7512505,-73.8814433,unknown,co op,11372,Queens,134.55679063937,False
bayview marketing,530000,1,1.0,538.0,"2286 Cropsey Ave #6d, Brooklyn, NY 11214, USA",40.5954596,-73.9968422,unknown,condo,11214,Manhattan,985.1301115241636,False
sotheby's,650000,1,1.0,2184.207862,"411 E 57th St #16b, New York, NY 10022, USA",40.7582795,-73.9624506,unknown,co op,10022,Manhattan,297.59072444910004,False
j milo real estate ltd,339000,1,1.0,1085.0,"9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA",40.6171201,-74.0385203,unknown,co op,11209,Brooklyn,312.44239631336404,False
re/max,189000,1,1.0,700.0,"6535 Broadway #1g, Bronx, NY 10471, USA",40.906568,-73.8968047,unknown,co op,10471,Bronx,270.0,False
corcoran,349750,1,1.0,2184.207862,"483 17th St #2l, Brooklyn, NY 11215, USA",40.6585622,-73.9825211,pending,other,11215,Brooklyn,160.12670134780421,False
corcoran,385000,1,1.0,2184.207862,"116 Pinehurst Ave, New York, NY 10033, USA",40.8522694,-73.939181,unknown,co op,10033,Manhattan,176.2652752506208,False
pantiga  inc,175000,1,1.0,800.0,"190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA",40.8742949,-73.883753,unknown,co op,10458,Bronx,218.75,False
exp,285000,1,1.0,750.0,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",40.6195811,-73.9706361,unknown,co op,11230,Brooklyn,380.0,False
douglas elliman,199999,1,1.0,2184.207862,"209-10 41st Ave #1f, Bayside, NY 11361, USA",40.762788,-73.7768814,unknown,co op,11361,Queens,91.56591892168548,False
compass,499000,1,1.0,615.0,"265 W 131st St #5, New York, NY 10027, USA",40.8138919,-73.9476673,pending,other,10027,Manhattan,811.3821138211382,False
nestapple,620000,1,1.0,430.0,"112 W 72nd St Ph C, New York, NY 10023, USA",40.7774399,-73.9793101,unknown,condo,10023,Manhattan,1441.860465116279,False
j sikar,429000,1,1.0,640.0,"Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA",40.5755355,-73.9735905,unknown,condo,11224,Brooklyn,670.3125,False
tracey real estate,174000,1,1.0,800.0,"3105 Ave V #1h, Brooklyn, NY 11229, USA",40.5997081,-73.9344974,unknown,co op,11229,Brooklyn,217.5,False
exit all seasons,209900,1,1.0,780.0,"3845 Shore Pkwy #5h, Brooklyn, NY 11235, USA",40.586901,-73.932949,unknown,co op,11235,Brooklyn,269.1025641025641,False
compass,539000,1,1.0,2184.207862,"385 E 18th St #6j, Brooklyn, NY 11226, USA",40.6419847,-73.9614428,unknown,co op,11226,Brooklyn,246.7713853508691,False
houlihan lawrence bronxville,199900,1,1.0,925.0,"55 E 190th St Apt 3, Bronx, NY 10468, USA",40.863113,-73.8983227,unknown,co op,10468,Bronx,216.1081081081081,False
william raveis real estate yorktown heights,289999,1,1.0,830.0,"2550 Independence Ave #3c, Bronx, NY 10463, USA",40.8799897,-73.919862,unknown,co op,10463,Bronx,349.3963855421687,False
flat rate of queens ltd,169000,1,1.0,850.0,"16520 Highland Ave Apt 105, Jamaica, NY 11432, USA",40.7106599,-73.7986899,unknown,co op,11432,Queens,198.8235294117647,False
hometown,335000,1,1.0,756.0,"7901 4th Ave e5, Brooklyn, NY 11209, USA",40.6273371,-74.0262024,unknown,co op,11209,Brooklyn,443.1216931216931,False
geo real estate  inc,375000,1,1.0,500.0,"240 E 55th St #8e, New York, NY 10022, USA",40.7581216,-73.9670704,unknown,co op,10022,Manhattan,750.0,False
keller williams,349000,1,1.0,800.0,"510 Ocean Pkwy, Brooklyn, NY 11218, USA",40.6358249,-73.973308,unknown,co op,11218,Manhattan,436.25,False
